time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-09-01T22:55:22.180Z,-15.0882,-74.9747,61.53,5.2,mb,,121,5.664,0.71,us,usc000s8ty,2014-09-02T18:16:17.000Z,"19km NE of Minas de Marcona, Peru",earthquake
2014-09-01T22:12:00.720Z,-48.8362,106.5885,10,4.6,mb,,127,21.033,0.58,us,usc000s8td,2014-09-02T06:14:28.348Z,"Southeast Indian Ridge",earthquake
2014-09-01T21:44:29.000Z,58.6448,-150.5967,11.7,2.8,ml,,,,0.6,ak,ak11376931,2014-09-02T05:47:11.713Z,"123km SSE of Homer, Alaska",earthquake
2014-09-01T20:50:07.360Z,33.8129,36.1111,10,4,mb,,233,2.568,0.93,us,usc000s9vd,2014-09-04T06:07:25.866Z,"4km W of Sirghaya, Syria",earthquake
2014-09-01T20:35:55.000Z,59.9885,-152.7464,104,3.4,ml,,,,0.63,ak,ak11376741,2014-09-02T05:04:03.651Z,"55km S of Redoubt Volcano, Alaska",earthquake
2014-09-01T20:15:00.600Z,38.359,-122.395,7.4,2.6,Md,49,57.6,0.05389892,0.15,nc,nc72289856,2014-09-02T13:25:56.392Z,"5km SSW of Yountville, California",earthquake
2014-09-01T19:50:11.000Z,63.6309,-147.9299,15.9,2.9,ml,,,,1.06,ak,ak11376718,2014-09-02T04:03:48.116Z,"57km ESE of Healy, Alaska",earthquake
2014-09-01T18:58:34.940Z,-9.3825,106.9372,32.99,5.1,mb,,52,1.671,1.07,us,usc000s8s3,2014-09-02T03:01:01.073Z,"179km NE of Flying Fish Cove, Christmas Island",earthquake
2014-09-01T18:32:05.000Z,62.9596,-149.9207,92.2,3.5,ml,,,,0.5,ak,ak11376640,2014-09-02T02:34:48.173Z,"68km SW of Cantwell, Alaska",earthquake
2014-09-01T16:47:32.000Z,50.5447,-174.485,25.6,2.7,ml,,,,0.83,ak,ak11376556,2014-09-02T00:50:10.449Z,"184km S of Atka, Alaska",earthquake
2014-09-01T16:27:31.600Z,13.7102,120.7498,182.33,4.2,mb,,103,8.764,0.69,us,usc000s8r6,2014-09-02T00:35:44.897Z,"13km W of Bagalangit, Philippines",earthquake
2014-09-01T16:10:37.400Z,36.979,-121.4642,5.6,3.4,Mw,149,28.8,0.04491576,0.12,nc,nc72289721,2014-09-03T15:35:46.710Z,"9km ESE of Gilroy, California",earthquake
2014-09-01T16:05:35.000Z,57.7025,-142.7763,4.1,3.2,ml,,,,0.75,ak,ak11376529,2014-09-02T00:08:40.472Z,"264km S of Cape Yakataga, Alaska",earthquake
2014-09-01T12:11:29.020Z,-12.2398,167.135,259.3,4.7,mb,,57,3.188,0.88,us,usc000s8p5,2014-09-01T20:14:05.479Z,"187km NNW of Sola, Vanuatu",earthquake
2014-09-01T11:46:49.590Z,36.1907,-97.4027,2.74,3.1,mb_lg,,33,0.244,0.57,us,usc000s8nz,2014-09-01T19:23:11.672Z,"15km SW of Perry, Oklahoma",earthquake
2014-09-01T11:41:10.810Z,64.6431,-17.4059,7.07,5.2,mb,,63,1.688,1.15,us,usc000s8ny,2014-09-04T15:53:55.000Z,"114km WNW of Hofn, Iceland",earthquake
2014-09-01T11:34:42.340Z,10.3869,-63.5919,10,4.6,mb,,109,2.573,0.62,us,usc000s8nw,2014-09-02T18:06:27.300Z,"12km SSW of Cariaco, Venezuela",earthquake
2014-09-01T10:45:55.000Z,51.2001,178.4348,60,2.5,ml,,,,0.19,ak,ak11376285,2014-09-01T18:48:21.523Z,"83km S of Little Sitkin Island, Alaska",earthquake
2014-09-01T09:07:13.570Z,12.1182,-87.9074,46.73,4.6,mb,,149,1.03,0.68,us,usc000s8nh,2014-09-01T17:09:51.615Z,"85km SW of Jiquilillo, Nicaragua",earthquake
2014-09-01T08:58:13.590Z,64.5643,-17.8165,6.34,4.9,mb,,40,1.521,1.11,us,usc000s8ng,2014-09-01T17:01:04.687Z,"125km S of Akureyri, Iceland",earthquake
2014-09-01T08:31:53.000Z,52.6291,-174.3263,187.7,2.9,ml,,,,0.54,ak,ak11376201,2014-09-01T16:34:21.095Z,"48km N of Atka, Alaska",earthquake
2014-09-01T07:43:04.000Z,59.0552,-147.4705,19.3,2.7,ml,,,,0.88,ak,ak11376160,2014-09-01T15:45:39.774Z,"77km WSW of Middleton Island, Alaska",earthquake
